000_md5sum 2288H_V5 CXC1060320 PowerEdge_R740 ProLiant_BL460c_Gen9
d3d019649738aa32c50f0208efef7569 1 0 0 0
fa34ec143d5c87e848d9d6eeb24abd85 0 0 1 0
a58afb588168c546cb86d046e7196127 0 1 0 0
3d679e3e95fcfe1c504213a7ac611b80 0 1 0 0
3eb2318bca78874f16d9911189645362 0 0 0 1
