000_md5sum application bytes command direct enabled failed load locked name platform provided return running system there user
883d85aa001efb7baf5676017a059582 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
4a6738ad498bab48126ea8363139cdd9 0 1 0 1 0 1 1 0 1 1 1 0 0 0 0 1
