000_md5sum 4.12.14-150.47.1.NEOKERNEL_SLES15 4.12.14-150.58-default 4.12.14-150.66-default 4.12.14-150.69-default 4.12.14-150.72-default
def730f96ecfe1eabdb913c1d212cc2d 0 0 0 1 0
6f4521f8eb2e3a587e81854c75e24586 0 0 1 0 0
f764def9222edcbfbbb390d5df704eed 0 0 1 0 0
75a1106642d01e2be441fc7eaae59aa7 0 0 0 0 1
b9fba9d3e2facb50dc4bb3605f00da07 0 0 0 0 1
dc13f235c378ac4f5fe77ae7b58e1ac1 0 1 0 0 0
5fe781a195ea8f15f2980f121efa086c 1 0 0 0 0
fcd6f743b62d2171dfe8dc12f00cfbde 1 0 0 0 0
be82dcfc624628616bd1a628c5de923b 1 0 0 0 0
