000_md5sum c2s csync s2s sm
8634db8eeac5fcdaf813c72bb1a43b6c 0 0 0 1
8e3546aef767fb8dff5f284cac4542f0 1 0 1 0
655c9235eaa5a6c5f4ed68b2ffc8315a 0 1 0 0
