000_md5sum kernel multipath wickedd-nanny
07e53ccb990baf77c91b68c0518abbfd 1 1 0
5111ef6898e3891408d7651de2179aa8 1 1 0
706f025291aaa40b57da2cf83055978a 0 0 1
