000_md5sum at-spi-bus-launcher btrfs-scrub.sh do_mandb gdm-x-session gnome-shell gnome-software gsd-color gsd-keyboard gsd-media-keys gsd-power gsd-sharing gsd-wacom gsd-xsettings kernel lightdm salt-minion tclink
883d85aa001efb7baf5676017a059582 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0
4a6738ad498bab48126ea8363139cdd9 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
aaca532a9d0ca44b3268bd654550b74f 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1
f5455ef54ef917d0ac2fad75d349a3d0 1 0 1 1 1 1 1 0 1 0 1 1 1 1 0 0 1
