000_md5sum 0x1000:0x0017 0x1000:0x005d 0x1000:0x0087 0x103c:0x3239 0x10df:0xe300 0x8086:0x2323 0x8086:0xa182 0x8086:0xa1d2
d3d019649738aa32c50f0208efef7569 1 0 0 0 0 0 1 1
fa34ec143d5c87e848d9d6eeb24abd85 0 1 0 0 1 0 1 1
a58afb588168c546cb86d046e7196127 0 0 1 0 0 1 0 0
3d679e3e95fcfe1c504213a7ac611b80 0 0 1 0 0 1 0 0
3eb2318bca78874f16d9911189645362 0 0 0 1 0 0 0 0
