000_md5sum after basis canceled delete detected execution manually sapnwgprdci session system
a618f555b007822479b350da9a5df091 1 1 1 1 0 1 0 1 0 0
613149eba8a2960bae6ef6e203f2b5bb 0 1 1 1 1 1 0 0 1 1
988fa1efba97610576bff16012895b0f 1 1 1 1 0 1 0 0 0 0
bde88466f55c97a9a9011327c0b0edc8 0 1 1 1 1 1 1 0 1 1
dc13f235c378ac4f5fe77ae7b58e1ac1 0 1 1 1 1 1 1 0 1 1
