000_md5sum SAPCH SAPCP SAPEWP SAPEWS SAPNGP pppd
a618f555b007822479b350da9a5df091 0 0 0 0 1 0
b3511fe4b9974e78afdc0fab119b1adf 0 0 0 0 0 1
88bb393b564fe826d188a4cbc8bebba9 0 0 0 0 0 1
fac0e01863c3309bbafce77f6c63a666 0 0 0 0 0 1
613149eba8a2960bae6ef6e203f2b5bb 1 0 0 0 0 0
988fa1efba97610576bff16012895b0f 0 1 0 0 0 0
bde88466f55c97a9a9011327c0b0edc8 0 0 1 1 0 0
