000_md5sum action basis canceled consider cubeschema customer delete detected echo execution scenario session statement system user
b11aab6344815cde37dc2eeccfe99a98 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0
340fa0c99c8acec05952337def820164 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
cd6dd1a1f8556e3d9c07e3da75a86606 0 1 1 0 1 1 1 0 0 1 1 1 0 1 1
c8c171e43db0ef8805650b64221e0c63 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
