000_md5sum c2s csync dlm_controld router s2s sm
284a86854ddeded33ef9f8f73a578972 1 0 0 1 1 1
176a8a0728412988c58cd0741e9787c0 0 1 1 0 0 0
edde7fb329e71d76d9a1ecb9f0aede9a 0 1 0 0 0 0
6e1eed638673455aad1617d118dddff6 0 1 0 0 0 0
