000_md5sum documentroot missed pdevdxp script shared swap urandom wiping
d63e84294eea1a72c0ec7e55198143a6 1 1 1 1 1 0 1 0
fd6833208e802ddbd2f728185869297c 0 1 0 0 0 1 1 1
