000_md5sum authentication bytes fatal message root sent server temporarily
ee85ba807b39af9bd696cf61b19e84ec 1 1 0 1 1 1 0 0
cf8d73b76538a045d9e246a8de2e6670 0 0 1 0 0 0 1 1
