000_md5sum hcnmgr kernel qmgr sshd
9ac3900bdfad10b33d391a5915659a73 0 0 1 1
f5e68e11bbf335423bd6256bcef47f44 0 1 0 0
d9d82878f1ba73783eb8c6c3ff8d33c3 1 1 0 0
28e9aa4337b79e21a68109abea4436b5 1 1 0 0
