000_md5sum SAPEWD SAPInstance SAPR2P crmd gnome-session-binary icinga irqbalance kernel liblogging-stdlog lvm org.gnome.Terminal org.gtk.vfs.Daemon pengine sbd tsmclient
79eab08b39a92d6ba4b1c0c76aef7442 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0
9b7acba6c75a68fa6eb8348ba2d69bd5 0 1 0 1 0 1 0 1 0 1 0 0 1 1 1
63feaca62192583d094058b0f3b60782 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0
6b8513ca40884925f8a6f8e0bf4427ce 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0
