000_md5sum AWEPLAECCV CIFS SAPCBD SAPCEQ SAPCKP SAPCSP SAPDCA SAPDEV SAPE SAPFSD SAPI SAPM SAPMDP SAPMEP SAPO1B SAPP SAPPBW SAPPCW SAPPEW SAPPG SAPPH SAPPL SAPPM SAPQG SAPQSB SAPRPA SAPS SAPSHP SAPSRP SAPUBW WEPG70NFS auditLog ccd03v cifsd crm_simulate hec03v liblogging-stdlog mipkhpch1bl nfs-ganesha pppd rootsh salt sapsrpcip t-fs
5c3a097f2edca69dfb67e0af31a2edb5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0fa67b19547fa584b7ffd00f621432ce 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
bc35c30d58c2259c4b9b88a0cfe37bac 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
b3d8b0176deeae233236a84720fe0609 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
38b30533ace1ec82f5d356f29587c275 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
ae65f982f836a8a7ef432b097efcb11c 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3d08a9ff1958464780473e296041a501 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
259d6d7e8724bae9af7ac1a016b33bad 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
a806161ecbb8341106de5d8eebea6671 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
f2fa47b9d2235b4796faaae6dbb62bf3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5144254c425c9daf076466cc28940c0f 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
6a2e89f25144058f3738a4b73450c6fe 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
