000_md5sum 5.3.18-47-default 5.3.18-53-default 5.3.18-57-default 5.3.18-59.10-default 5.3.18-59.5-default
470e68e19b53a83d708420ee09e2cf29 1 0 0 0 0
edcfdce2539fb2c738970e9169e66439 1 0 0 0 0
c7c397753636a581255636bfc6d45a53 0 1 0 0 0
f604bd5f19569b0d401d9a27b5f66f9b 0 0 1 0 0
7bbefc25ca7f89c40dcacbc153fdc14e 0 0 1 0 0
7f0116d57fa391ab0d400dacc1abc1f1 0 0 0 0 1
d01106fcc939ac720f685dbe0af6b4e6 0 0 0 0 1
97441590ac95de77ddcfc630e43e57a7 0 0 1 0 0
c8bf4d93f8921a05aa6645ec92d2ab63 0 0 0 1 0
