000_md5sum 0x14e4:0x168a 0x15b3:0x1015 0x15b3:0x1016 0x6001:
79eab08b39a92d6ba4b1c0c76aef7442 0 0 0 1
9b7acba6c75a68fa6eb8348ba2d69bd5 0 0 1 1
466c1a6104ee8cfbac5fdab4aef65aef 0 0 0 1
f97ad82b732cd42e13f1b53528704e40 0 0 0 1
63feaca62192583d094058b0f3b60782 0 0 0 1
6b8513ca40884925f8a6f8e0bf4427ce 0 1 0 0
edd257321408d88c10eab40daffae4ca 1 0 0 0
650be7ed4388713ee0c348304b098973 0 0 0 1
