000_md5sum 0x14e4:0x16a2 0x413c:0xa102 0x8086:0x0438 0x8086:0x10d3 0x8086:0x10f8 0x8086:0x1563 0x8086:0x1572 0x8086:0x37d0 0x8086:0x37d1
d3d019649738aa32c50f0208efef7569 0 0 0 0 0 0 1 1 1
fa34ec143d5c87e848d9d6eeb24abd85 0 1 0 0 0 1 0 0 0
a58afb588168c546cb86d046e7196127 0 0 1 1 1 0 0 0 0
3d679e3e95fcfe1c504213a7ac611b80 0 0 1 1 1 0 0 0 0
3eb2318bca78874f16d9911189645362 1 0 0 0 0 0 0 0 0
