000_md5sum auditd gnome-control-c gnome-software kernel tclink
7da6ca499ee85df39808a1e711221bd0 0 0 1 1 1
11889b742043bab69c2e31fd80b1e9c5 0 0 1 0 1
14758fbe439f5f0da7da4a3e8d9c506f 1 0 0 1 1
396ee3f68aff2f9ecb41a9e9cd79a022 0 1 1 1 1
